"Ticker","Price","Supply","MarketCap","PriceAtAsset1Cap","HowManyX1","PriceAtAsset2Cap","HowManyX2","PriceAtAsset3Cap","HowManyX3"
"BTC","61341.27","18851968","1156403659119","61341.27","1","25200.65","0.41","3752.13","0.06"
"ETH","4024.63","118043592.69","475081784448","9796.41","2.43","4024.63","1","599.23","0.15"
"ADA","2.15","32900000000","70735000000","35.15","16.35","14.44","6.72","2.15","1"
"LINK","30.49","461009553.92","14056181299","2508.42","82.27","1030.52","33.8","153.43","5.03"
"MATIC","1.65","6760000000","11154000000","171.07","103.68","70.28","42.59","10.46","6.34"
"ATOM","35.91","223369618.59","8021203004","5177.09","144.17","2126.89","59.23","316.67","8.82"
"XMR","266.00","18014103.58","4791751552","64194.35","241.33","26372.77","99.15","3926.65","14.76"
"AAVE","315.07","13222539.12","4166025401","87457.00","277.58","35929.69","114.04","5349.58","16.98"
"SUSHI","10.67","127244443","1357698207","9088.05","851.74","3733.62","349.92","555.90","52.1"
"GALA","0.0848","6980000000","591904000","165.67","1953.66","68.06","802.59","10.13","119.46"
"KAVA","5.84","91443180","534028171","12646.14","2165.43","5195.38","889.62","773.54","132.46"
"POP","0.0053687","1600000000","8589920","722.75","134622.91","296.93","55307.62","44.21","8234.77"
