"Ticker","Price","Supply","MarketCap","PriceAtAsset1Cap","ChangePercentAtAsset1Cap"
"BTC","61341.27","18851968","1156403659119.36","",""
"ETH","4024.63","118043592.69","475081784447.9547","",""
"ADA","2.15","32900000000","70735000000.00","",""
"LINK","30.49","461009553.92","14056181299.0208","",""
"MATIC","1.65","6760000000","11154000000.00","",""
"ATOM","35.91","223369618.59","8021203003.5669","",""
"XMR","266.00","18014103.58","4791751552.2800","",""
"AAVE","315.07","13222539.12","4166025400.5384","",""
"SUSHI","10.67","127244443","1357698206.81","",""
"GALA","0.0848","6980000000","591904000.0000","",""
"KAVA","5.84","91443180","534028171.20","",""
"POP","0.0053687","1600000000","8589920.0000000","",""
